2026-06-30 18:09:44 | INFO     | tasks.framework.runner:59 | ==================================================
2026-06-30 18:11:19 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-06-30 18:11:19 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-06-30 18:11:20 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-06-30 18:11:20 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-06-30 18:11:20 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-06-30 18:11:20 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/open_browser] 启动浏览器
2026-06-30 18:11:20 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-06-30 18:11:20 | INFO     | core.ui_automator:217 | Waiting 3s
2026-06-30 18:11:24 | INFO     | utils.common:66 | ✅ 断言通过：浏览器应在前台，期望包名 com.android.browser
2026-06-30 18:11:24 | INFO     | tasks.framework.base_case:70 | << 用例结束 [手机浏览器/open_browser] 启动浏览器 — 成功
2026-06-30 18:11:24 | INFO     | tasks.framework.runner:95 | --- APK 结束: 手机浏览器 - 通过 1/1 ---
2026-06-30 18:11:24 | INFO     | tasks.framework.runner:54 | ==================================================
2026-06-30 18:11:24 | INFO     | tasks.framework.runner:55 | 执行汇总：共 1 条，通过 1，失败 0
2026-06-30 18:11:24 | INFO     | tasks.framework.runner:58 |   [PASS] [browser/open_browser] 启动浏览器
2026-06-30 18:11:24 | INFO     | tasks.framework.runner:59 | ==================================================
