2026-07-01 19:55:33 | INFO     | utils.common:66 | ✅ 断言通过：底部工具栏应存在 '工具' 按钮
2026-07-01 19:55:33 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 19:55:35 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '添加收藏' 项
2026-07-01 19:55:35 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 19:55:36 | INFO     | utils.common:66 | ✅ 断言通过：‘添加到…’对话框中应存在 ‘收藏’ 选项
2026-07-01 19:55:36 | INFO     | core.ui_automator:217 | Waiting 2s
2026-07-01 19:55:39 | INFO     | utils.common:66 | ✅ 断言通过：应能再次唤出工具菜单
2026-07-01 19:55:39 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 19:55:41 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '我的收藏' 项
2026-07-01 19:55:41 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-01 19:55:44 | INFO     | utils.common:66 | ✅ 断言通过：收藏夹中应包含关键词 '好看的视频'
2026-07-01 19:55:44 | INFO     | utils.common:66 | ✅ 断言通过：我的收藏页应存在返回按钮
2026-07-01 19:55:44 | INFO     | core.ui_automator:217 | Waiting 2s
2026-07-01 19:55:46 | INFO     | utils.common:66 | ✅ 断言通过：Web 页底部应存在 '主页' 按钮
2026-07-01 19:55:46 | INFO     | core.ui_automator:217 | Waiting 2s
2026-07-01 19:55:49 | INFO     | utils.common:66 | ✅ 断言通过：主页也应能唤出工具菜单
2026-07-01 19:55:49 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 19:55:51 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '退出' 项
2026-07-01 19:55:51 | INFO     | core.ui_automator:217 | Waiting 2s
2026-07-01 19:56:04 | INFO     | utils.common:66 | ✅ 断言通过：退出后浏览器不应仍在前台，包名 com.android.browser
2026-07-01 19:56:04 | INFO     | core.app_controller:36 | Stopping app: com.android.browser
2026-07-01 19:56:04 | INFO     | tasks.framework.base_case:70 | << 用例结束 [手机浏览器/add_favorite] 添加收藏到收藏夹 — 成功
2026-07-01 19:56:04 | INFO     | tasks.framework.runner:95 | --- APK 结束: 手机浏览器 - 通过 1/1 ---
2026-07-01 19:56:04 | INFO     | tasks.framework.runner:54 | ==================================================
2026-07-01 19:56:04 | INFO     | tasks.framework.runner:55 | 执行汇总：共 1 条，通过 1，失败 0
2026-07-01 19:56:04 | INFO     | tasks.framework.runner:58 |   [PASS] [browser/add_favorite] 添加收藏到收藏夹
2026-07-01 19:56:04 | INFO     | tasks.framework.runner:59 | ==================================================
